,ASTM, American W Shapes to ASTM A6/A36,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,in x in x lb/ft,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
45,41,W33x111/2x332,494.2,915.2,308.1,33,58.9,20,757.4,2.62,23,811100,28960,35.9,6.78,17730,1880,20920,3020,0.873,17,53.1,5131,630
46,42,W33x111/2x301,449.6,905,305.2,30,54.1,20,756.8,2.82,25.2,730300,25830,35.7,6.72,16140,1692,18950,2706,0.874,18.3,46.7,3945,573
47,43,W33x111/2x271,403.4,895.1,302.1,26.9,49,20,757.1,3.08,28.1,649300,22660,35.5,6.64,14510,1500,16930,2386,0.875,20.1,40.5,2912,514
48,44,W33x111/2x243,362,885.2,299.7,24.4,43.9,20,757.4,3.41,31,574500,19800,35.3,6.55,12980,1321,15080,2096,0.874,22.2,35,2117,461
49,45,W33x111/2x219,327.2,877.1,297.2,22.1,39.9,20,757.3,3.72,34.3,514600,17540,35.1,6.49,11730,1180,13580,1865,0.874,24.3,30.7,1587,417
50,46,W33x111/2x204,303.8,871.2,295.7,20.6,37.1,20,757,3.99,36.7,474100,16050,35,6.44,10880,1086,12560,1712,0.874,26,27.9,1281,387
51,47,W33x111/2x187,279.2,865.1,294.1,19.1,34,20,757.1,4.33,39.6,431500,14470,34.8,6.38,9975,984,11480,1548,0.874,28.1,25,996,356
52,48,W33x111/2x169,251.2,859,292.1,17,31,20,757,4.71,44.5,387600,12920,34.8,6.35,9024,884,10330,1385,0.876,30.7,22.1,746,320
53,49,W33x111/2x152,227,850.6,293.8,16.1,26.8,20,757,5.48,47,340500,11360,34.3,6.27,8007,773,9178,1213,0.87,34.7,19.3,522,289
54,50,W33x111/2x141,211.3,845.8,293,15.4,24.4,20,757,6,49.2,311600,10260,34,6.17,7367,700,8453,1099,0.867,37.5,17.3,413,269
55,51,W33x111/2x130,194.3,840.5,292.4,14.7,21.7,20,757.1,6.74,51.5,280100,9068,33.6,6.05,6666,620,7666,975,0.863,41.3,15.2,312,248
56,52,W33x111/2x118,176.4,834.6,291.6,14,18.8,20,757,7.76,54.1,246900,7792,33.1,5.89,5915,534,6831,842,0.856,46,13,227,225
57,53,W30x15x357,531.6,833,393,31.5,56.9,20,679.2,3.45,21.6,776600,57760,33.9,9.24,18650,2940,21550,4579,0.888,15.3,87,5563,677
58,54,W30x15x326,485.3,823,390,29,52.1,20,678.8,3.74,23.4,698800,51670,33.6,9.14,16980,2650,19530,4120,0.888,16.6,76.8,4280,618
59,55,W30x15x292,434.4,813,387,25.9,47,20,679,4.12,26.2,618800,45520,33.4,9.07,15220,2352,17400,3646,0.889,18.2,66.8,3127,553
60,56,W30x15x261,389.2,803,385,23.6,41.9,20,679.2,4.59,28.8,545200,39940,33.2,8.98,13580,2075,15450,3211,0.888,20.2,57.8,2248,496
61,57,W30x15x235,350.3,795,382,21.1,38.1,20,678.8,5.01,32.2,486900,35460,33,8.91,12250,1857,13860,2865,0.889,22.1,50.8,1675,446
62,58,W30x15x211,315.1,785.9,383.7,19.7,33.4,20,679.1,5.74,34.5,428500,31500,32.7,8.86,10900,1642,12310,2533,0.886,24.8,44.6,1182,401
63,59,W30x15x191,284.8,779.3,382,18,30.1,20,679.1,6.35,37.7,383000,28010,32.5,8.79,9829,1466,11060,2259,0.885,27.3,39.3,875,363
64,60,W30x15x173,258.3,773.2,380.6,16.6,27.1,20,679,7.02,40.9,343000,24930,32.3,8.7,8871,1310,9963,2017,0.884,30,34.7,651,329
65,61,W30x101/2x295,439.5,835.2,281.7,32,57.9,20,679.4,2.43,21.2,597300,21780,32.7,6.24,14300,1547,16940,2489,0.874,15.7,32.9,4410,560
66,62,W30x101/2x269,401.8,825,279.1,29.5,53.1,20,678.8,2.63,23,537800,19410,32.4,6.16,13040,1391,15370,2231,0.874,16.9,28.9,3414,512
67,63,W30x101/2x246,367.3,817.1,276.6,26.9,49,20,679.1,2.82,25.2,488000,17410,32.3,6.1,11950,1259,14010,2011,0.875,18.2,25.7,2661,468
68,64,W30x101/2x226,336.8,809,274.6,24.9,44.9,20,679.2,3.06,27.3,441900,15600,32.1,6.03,10920,1136,12760,1810,0.874,19.7,22.8,2066,429
69,65,W30x101/2x207,308.2,801.1,272.7,23.1,40.9,20,679.3,3.33,29.4,398600,13910,31.9,5.95,9950,1020,11590,1622,0.873,21.4,20.1,1585,393
70,66,W30x101/2x185,276.3,793,270.1,20.6,37.1,20,678.8,3.64,33,354600,12240,31.7,5.9,8943,907,10360,1435,0.875,23.5,17.5,1171,352
71,67,W30x101/2x165,246,785.1,268.1,18.5,33,20,679.1,4.06,36.7,312000,10640,31.6,5.83,7949,794,9168,1252,0.874,26.1,15.1,833,313
72,68,W30x101/2x148,221.2,779,266.2,16.5,30,20,679,4.44,41.2,279600,9465,31.5,5.8,7178,711,8236,1116,0.876,28.6,13.3,621,282
73,69,W30x101/2x132,197.5,769.9,267.8,15.6,25.4,20,679.1,5.27,43.5,241300,8159,31,5.69,6267,609,7203,959,0.869,32.8,11.3,416,252
74,70,W30x101/2x124,185.8,766.3,267.1,14.9,23.6,20,679.1,5.66,45.6,224400,7520,30.8,5.64,5857,563,6730,886,0.868,34.9,10.4,344,237
75,71,W30x101/2x116,174.4,762.3,266.6,14.4,21.6,20,679.1,6.17,47.2,207000,6845,30.5,5.55,5430,513,6249,809,0.864,37.4,9.39,278,222
76,72,W30x101/2x108,161.3,757.7,266.4,13.8,19.3,20,679.1,6.9,49.2,187300,6102,30.2,5.45,4944,458,5702,723,0.86,40.8,8.32,215,205
77,73,W30x101/2x99,148,753.1,265.3,13.2,17,20,679.1,7.8,51.4,167400,5309,29.8,5.31,4447,400,5148,633,0.854,44.8,7.19,163,189
78,74,W30x101/2x90,134.2,750,264.2,11.9,15.5,20,679,8.52,57.1,151700,4778,29.8,5.29,4044,362,4668,570,0.856,48.8,6.44,124,171
79,75,W27x14x336,500.5,762,369,32,57.9,20,606.2,3.19,18.9,606200,48680,30.8,8.74,15910,2638,18490,4114,0.889,13.6,60.3,5459,638
80,76,W27x14x307,458.2,752,367,29.5,53.1,20,605.8,3.46,20.5,546600,43900,30.6,8.67,14540,2392,16810,3723,0.889,14.7,53.6,4229,584
81,77,W27x14x281,419.1,744,364,26.9,49,20,606,3.71,22.5,495400,39500,30.5,8.6,13320,2170,15310,3369,0.89,15.8,47.7,3300,534
82,78,W27x14x258,384.7,736,362,24.9,45,20,606,4.02,24.3,448900,35670,30.3,8.53,12200,1971,13960,3054,0.89,17.1,42.6,2569,490
83,79,W27x14x235,351,728,360,23.1,40.9,20,606.2,4.4,26.2,403400,31880,30,8.44,11080,1771,12640,2742,0.889,18.6,37.6,1953,447
84,80,W27x14x217,324.4,722,359,21.1,38.1,20,605.8,4.71,28.7,371000,29440,30,8.44,10280,1640,11660,2532,0.89,19.9,34.4,1568,413
85,81,W27x14x194,289.1,714,356,19,34,20,606,5.24,31.9,326200,25610,29.8,8.34,9139,1439,10320,2218,0.89,22.1,29.6,1121,368
86,82,W27x14x178,265.7,706.4,357.8,18.4,30.2,20,606,5.92,32.9,292000,23100,29.4,8.26,8268,1291,9336,1992,0.885,24.4,26.4,834,338
87,83,W27x14x161,241.1,700.8,356.1,16.8,27.4,20,606,6.5,36.1,262600,20650,29.2,8.2,7494,1160,8433,1787,0.885,26.7,23.4,627,307
88,84,W27x14x146,218.9,695.4,354.7,15.4,24.8,20,605.8,7.15,39.3,235900,18470,29.1,8.14,6785,1041,7614,1603,0.884,29.2,20.8,471,279
89,85,W27x10x302,451.5,771.9,273.8,35.1,63,20,605.9,2.17,17.3,516900,21800,30,6.16,13390,1593,16000,2568,0.876,13.1,27.4,5429,575
90,86,W27x10x271,404,760,270.3,31.5,56.9,20,606.2,2.38,19.2,455300,18910,29.7,6.06,11980,1399,14210,2246,0.877,14.3,23.4,3980,515
91,87,W27x10x247,368.1,749.8,267.7,28.9,52.1,20,605.6,2.57,21,408400,16800,29.5,5.99,10890,1255,12850,2008,0.877,15.5,20.4,3060,469
92,88,W27x10x221,329.4,739.9,264.8,25.9,47,20,605.9,2.82,23.4,360900,14650,29.3,5.91,9754,1106,11430,1762,0.878,17,17.6,2239,420
93,89,W27x10x201,300.9,732,262.8,23.9,42.9,20,606.2,3.06,25.4,325300,13060,29.1,5.84,8887,994,10370,1579,0.877,18.4,15.5,1719,383
94,90,W27x10x182,271.9,723.9,260.2,21.6,39.1,20,605.7,3.33,28,290700,11540,29,5.77,8033,887,9328,1404,0.878,20,13.5,1295,346
95,91,W27x10x159,237.2,714,257.8,19.1,34,20,606,3.79,31.7,249200,9754,28.7,5.68,6981,757,8062,1194,0.877,22.7,11.3,866,302
