,UB,Universal Beams to BS4 Part1 1993 - Dimensions & Properties,wt,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,section,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
35,31,457x191x89,89.3,463.4,191.9,10.5,17.7,10.2,407.6,5.42,38.8,41020,2089,19,4.29,1770,218,2014,338,0.88,28.3,1.04,90.7,114
36,32,457x191x82,82,460,191.3,9.9,16,10.2,407.6,5.98,41.2,37050,1871,18.8,4.23,1611,196,1831,304,0.877,30.9,0.922,69.2,104
37,33,457x191x74,74.3,457,190.4,9,14.5,10.2,407.6,6.57,45.3,33320,1671,18.8,4.2,1458,176,1653,272,0.877,33.9,0.818,51.8,94.6
38,34,457x191x67,67.1,453.4,189.9,8.5,12.7,10.2,407.6,7.48,48,29380,1452,18.5,4.12,1296,153,1471,237,0.872,37.9,0.705,37.1,85.5
39,35,457x152x82,82.1,465.8,155.3,10.5,18.9,10.2,407.6,4.11,38.8,36590,1185,18.7,3.37,1571,153,1811,240,0.873,27.4,0.591,89.2,105
40,36,457x152x74,74.2,462,154.4,9.6,17,10.2,407.6,4.54,42.5,32670,1047,18.6,3.33,1414,136,1627,213,0.873,30.1,0.518,65.9,94.5
41,37,457x152x67,67.2,458,153.8,9,15,10.2,407.6,5.13,45.3,28930,913,18.4,3.27,1263,119,1453,187,0.869,33.6,0.448,47.7,85.6
42,38,457x152x60,59.8,454.6,152.9,8.1,13.3,10.2,407.6,5.75,50.3,25500,795,18.3,3.23,1122,104,1287,163,0.868,37.5,0.387,33.8,76.2
43,39,457x152x52,52.3,449.8,152.4,7.6,10.9,10.2,407.6,6.99,53.6,21370,645,17.9,3.11,950,84.6,1096,133,0.859,43.9,0.311,21.4,66.6
44,40,406x178x74,74.2,412.8,179.5,9.5,16,10.2,360.4,5.61,37.9,27310,1545,17,4.04,1323,172,1501,267,0.882,27.6,0.608,62.8,94.5
45,41,406x178x67,67.1,409.4,178.8,8.8,14.3,10.2,360.4,6.25,41,24330,1365,16.9,3.99,1189,153,1346,237,0.88,30.5,0.533,46.1,85.5
46,42,406x178x60,60.1,406.4,177.9,7.9,12.8,10.2,360.4,6.95,45.6,21600,1203,16.8,3.97,1063,135,1199,209,0.88,33.8,0.466,33.3,76.5
47,43,406x178x54,54.1,402.6,177.7,7.7,10.9,10.2,360.4,8.15,46.8,18720,1021,16.5,3.85,930,115,1055,178,0.871,38.3,0.392,23.1,69
48,44,406x140x46,46,403.2,142.2,6.8,11.2,10.2,360.4,6.35,53,15690,538,16.4,3.03,778,75.7,888,118,0.871,38.9,0.207,19,58.6
49,45,406x140x39,39,398,141.8,6.4,8.6,10.2,360.4,8.24,56.3,12510,410,15.9,2.87,629,57.8,724,90.8,0.858,47.5,0.155,10.7,49.7
50,46,356x171x67,67.1,363.4,173.2,9.1,15.7,10.2,311.6,5.52,34.2,19460,1362,15.1,3.99,1071,157,1211,243,0.886,24.4,0.412,55.7,85.5
