,HE,European Wide Flange Beams in Accordance with Euronorm 53-62,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
25,21,HE 200 M,103.1,220,206,15,25,18,134,4.12,8.93,10640,3651,9,5.27,967,354,1135,543,0.848,7.88,0.347,258,131
26,22,HE 220 AA,40.4,205,220,6,8.5,18,152,12.9,25.3,4170,1510,9,5.42,407,137,445,209,0.839,20.2,0.146,15.5,51.5
27,23,HE 220 A,50.5,210,220,7,11,18,152,10,21.7,5410,1955,9.17,5.51,515,178,568,271,0.842,16.9,0.194,28.6,64.3
28,24,HE 220 B,71.5,220,220,9.5,16,18,152,6.88,16,8091,2843,9.43,5.59,736,258,827,394,0.847,12.6,0.296,77,91
29,25,HE 220 M,117.3,240,226,15.5,26,18,152,4.35,9.81,14600,5012,9.89,5.79,1217,444,1419,679,0.848,8.37,0.574,313,149
30,26,HE 240 AA,47.4,224,240,6.5,9,21,164,13.3,25.2,5835,2077,9.83,5.87,521,173,571,264,0.84,20.1,0.24,22.1,60.4
31,27,HE 240 A,60.3,230,240,7.5,12,21,164,10,21.9,7763,2769,10.1,6,675,231,745,352,0.844,16.7,0.329,42.1,76.8
32,28,HE 240 B,83.2,240,240,10,17,21,164,7.06,16.4,11260,3923,10.3,6.08,938,327,1053,498,0.848,12.7,0.488,104,106
33,29,HE 240 M,156.7,270,248,18,32,21,164,3.88,9.11,24290,8153,11,6.39,1799,657,2117,1006,0.852,7.61,1.15,626,200
34,30,HE 260 AA,54.1,244,260,6.5,9.5,24,177,13.7,27.2,7981,2788,10.8,6.36,654,214,714,328,0.844,20.1,0.383,30.1,69
35,31,HE 260 A,68.2,250,260,7.5,12.5,24,177,10.4,23.6,10450,3668,11,6.5,836,282,920,430,0.848,17,0.517,54.2,86.8
36,32,HE 260 B,93,260,260,10,17.5,24,177,7.43,17.7,14920,5135,11.2,6.58,1148,395,1283,602,0.851,13.3,0.755,127,118
37,33,HE 260 M,172.4,290,268,18,32.5,24,177,4.12,9.83,31310,10450,11.9,6.9,2159,780,2524,1192,0.853,8.05,1.73,720,220
38,34,HE 280 AA,61.2,264,280,7,10,24,196,14,28,10560,3664,11.6,6.85,800,262,873,399,0.844,21.3,0.591,35.5,78
39,35,HE 280 A,76.4,270,280,8,13,24,196,10.8,24.5,13670,4763,11.9,7,1013,340,1112,518,0.848,18,0.786,63.5,97.3
40,36,HE 280 B,103.1,280,280,10.5,18,24,196,7.78,18.7,19270,6595,12.1,7.09,1376,471,1534,718,0.85,14.1,1.13,146,131
41,37,HE 280 M,188.5,310,288,18.5,33,24,196,4.36,10.6,39550,13160,12.8,7.4,2551,914,2966,1397,0.853,8.55,2.52,807,240
42,38,HE 300 AA,69.8,283,300,7.5,10.5,27,208,14.3,27.7,13800,4734,12.5,7.3,976,316,1065,482,0.844,21,0.879,47.8,88.9
43,39,HE 300 A,88.3,290,300,8.5,14,27,208,10.7,24.5,18260,6310,12.7,7.49,1260,421,1383,641,0.849,17.7,1.2,87.8,113
44,40,HE 300 B,117,300,300,11,19,27,208,7.89,18.9,25170,8563,13,7.58,1678,571,1869,870,0.851,14.1,1.69,189,149
45,41,HE 300 C,176.7,320,305,16,29,27,208,5.26,13,40950,13740,13.5,7.81,2559,901,2927,1374,0.854,10.1,2.91,604,225
46,42,HE 300 M,237.9,340,310,21,39,27,208,3.97,9.9,59200,19400,14,8,3482,1252,4078,1913,0.856,7.9,4.39,1411,303
